"provider_name","provider_addloc","notes","notes_es","email","web_link","address","city","state","zip","lat","lon","last_update","updated_by","status","med_testing","med_primary_care","med_pediatrics","med_senior","med_women","med_urgent_care","med_dental","med_vision","med_pharmacy","med_mental_health","med_hotline","med_addiction","med_domestic_violence","legal_housing","legal_worker_protection","legal_healthcare","legal_immigration","legal_criminal","legal_domviolence","legal_contracts","legal_protester_defense","fin_grocery","fin_housing","fin_legal","fin_medical","fin_utilities","dv_medical","dv_mental_health","dv_housing","dv_legal","dv_crisis","dv_referrals","SNAP","WIC","public","children","homeless","uninsured","residents","immigrants","low_income","women","disabled","native_american","seniors","accepts_medical","discount_medical","must_show_id","free","sliding_scale","financial_assistance","contact","temp_closed","delivery","curbside_pickup","drive_thru","in_person","telehealth","telelegal","call_in_advance","alameda","san_francisco","contra_costa","santa_clara","san_mateo","solano","sonoma","napa","santa_cruz","san_benito","sacramento","farmers_market","meal_student","free_groceries","bob","mon","tues","wed","thr","fri","sat","sun","resource"
"Williams Middle","","Meals are provided for children ages 2-18. They are available for pick-up at any TUSD site, except Stein.","Se proporcionan comidas para los niños de 2 a 18 años. Están disponibles para recoger en cualquier sitio de Tracy Joint (TUSD), excepto Stein.","","https://www.tracy.k12.ca.us/parentstudent-information/health-services/coronavirus-page","1600 Tennis Ln","Tracy","CA",95376,37.7316154,-121.4451362,"2020-09-18","Emily",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"(209) 830-3280",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","11:30 AM - 12:30 PM","","","meal"
"WG Elem","","Free grab-and-go breakfasts and lunches for anyone under 18. Eligible families can pick up 3 breakfasts and 3 lunches on Monday as well as 2 breakfasts and two lunches on Thursday. ","Desayunos y almuerzos para llevar para todos de 18 años de edad y menor. Se puede recoger 3 desayunos y 3 almuerzos cada lunes. Cada Jueves se puede recoger 2 desayunos y 2 almuerzos. ","","https://www.sjusd.org/your-resources/covid-19-update/meals-wellness-health-resources/4408/","1425 Lincoln Ave","San Jose","CA",95125,37.3027114,-121.8970789,"2020-09-17","Micah",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(408) 535-6000",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3:00 PM - 5:00 PM","","","3:00 PM - 5:00 PM","","","","meal"
"Petaluma Junior High School","","Starting on Monday, September 28th, we will be able to provide 7 days worth of breakfast and lunch meals for students every week. To accommodate this, we are changing the pickup schedule. Pickup will be three days a week, with 4-6 meals available per student each day. Please note, any child under the age of 18 is eligible for meals under the Summer Seamless program.

Petaluma High families will pick up meals at Petaluma Junior High.

Monday 2 lunches and 2 breakfast per student
Wednesday 2 lunches and 2 breakfast meals per student
Friday 3 lunches and 3 breakfast meals per student","A partir del lunes 28 de septiembre, podremos proporcionar 7 días de desayuno y almuerzo para los estudiantes cada semana. Para adaptarse a esto, estamos cambiando el horario de recogida. La recogida será tres días a la semana, con 4-6 comidas disponibles por estudiante cada día. Tenga en cuenta: cualquier niño menor de 18 años es elegible para las comidas bajo el programa Summer Seamless.

 Las escuelas para la recogida seguirán siendo las mismas, a excepción de Petaluma High School. Los estudiantes de Petaluma High School recogerán las comidas en Petaluma Junior High.

Lunes 2 almuerzos y 2 desayunos por alumno
Miércoles 2 almuerzos y 2 desayunos por alumno
Viernes 3 almuerzos y 3 desayunos por alumno","nsitchler@petk12.org","petalumacityschools.org/Page/4858","700 Bantam Way","Petaluma","CA",94952,38.2345328,-122.6588821,"2020-09-26","Angie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(707) 778-4851",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"12:15 PM - 1:00 PM","","12:15 PM - 1:00 PM","","12:15 PM - 1:00 PM","","","meal"
"California Department of Managed Healthcare","","Provides information about Cal-COBRA, a California Law that lets you keep your group health plan when your job ends or your hours are reduced.","Proporciona información sobre Cal-Cobra, la ley de California que te permite mantener tu plan de seguro cuando tu trabajo se termina o tus horas de trabajo son reducidas.","","https://www.dmhc.ca.gov/HealthCareinCalifornia/TypesofPlans/KeepYourHealthCoverage(COBRA).aspx","","","","","","","2020-06-04","CP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(888) 466-2219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","legal"
"Soquel Elementary School","","The Soquel Union Elementary School District Child Nutrition Services (CNS) Program will provide an opportunity for families to drive through and pick up meals for the children in their family, at two of our school sites. Children must be present in order for meals to be provided. The following schools and one off site location will provide a lunch for that day and breakfast for the following day. Meals will be
served in the parking lot or bus lane at each participating school. Please stay in your car and meals will be passed through based on the number of children in the car

","","cgiannini@suesd.org","https://drive.google.com/file/d/1bmU15vE3Kjq6AJkHbfBKA2Zu6knphjPS/view","2700 Porter Street","Soquel","CA",95010,36.985999,-121.957244,"2020-09-24","Angie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(831) 464-5649",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","10:30 AM - 12:30 PM","","","10:30 AM - 12:30 PM","","","meal"
"Irvington Dave Vision Clinic","","In-person and telehealth services offered: vision care. Accepts most insurance types, including MediCal. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). Languages spoken: translation is available for most languages.","Servicios en persona y de telesalud ofrecidos: cuidado de la vista. Acepta la mayoría de los tipos de seguro, incluido MediCal. Ofrece un plan de precios de escala móvil para pacientes sin seguro (la cantidad que paga se basa en sus ingresos). Idiomas hablados: la traducción está disponible para la mayoría de los idiomas.","","https://tri-cityhealth.org/","40924 Fremont Blvd Fremont","NA","CA",94538,37.521598,-121.9567135,"2020-08-05","CH",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"(510) 770-8040",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","","","health"
"Randall Elementary","","Grab & go free meals for children 0-18. Parents and guardians can pick up the meals for their children. ","Comidas gratuitas para llevar para los niños de 18 años o menores. Los padres o tutores pueden recoger las comidas. ","","https://drive.google.com/file/d/1mPUO9AwHpLoolwPQZR-3MRIHeq9A2vnr/view","1300 Edsel Dr.","Milpitas","CA",95035,37.430487,-121.882394,"2020-09-18","Micah",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","8:30 AM - 12:30 PM","","8:30 AM - 12:30 PM","","","","meal"
"St. Anthony's Emergency Food Pantry","","Meals are now served curbside, distributed from the Dining Room entrance on Jones Street and/or Golden Gate Avenue. Meals continue to be prepared fresh daily, and are packaged in to-go containers for guests. Hygiene kits and emergency shoes and
clothing for guests with an immediate need are still provided curbside on Golden Gate Avenue. Monday - Sunday: 10:00 am - 11:45 am (Seniors, families with children), 11:30 am -1:00 pm (open to all)","Las comidas ahora se sirven en la acera, distribuidas desde la entrada del comedor en Jones Street y / o Golden Gate Avenue. Las comidas continúan preparándose diariamente, y se empaquetan envases para llevar. En la acera de la Avenida Golden Get, se ofrece kits de higiene y zapatos de emergencia y la ropa para los que tengan una necesidad inmediata.","","https://www.stanthonysf.org/","121 Golden Gate Avenue San Francisco","NA","CA","",37.7819371,-122.4126311,"2020-04-26","AZ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(415) 241-2600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","10:00 AM - 11:45 am, 11:30 am - 1:00 pm","meal"
"Tully Community Branch Library","","Lunch","Almuerzo","","","","","","","","","2020-09-23","AF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","","","","","","meal"
"Lodi High","","*Lodi USD students do not need to be present but a postcard (coming soon in the mail) with bar code must be brought for each child for every pickup.","* Los estudiantes de Lodi USD no necesitan estar presentes, pero deben traer a cada recogida de comidas una tarjeta postal (lo cual llegará próximamente por correo) con un código de barras para cada niño. ","","http://www.schoolnutritionandfitness.com/index.php?sid=2904102048414688&page=menus","3 S Pacific Ave","Lodi","CA",95241,38.133057,-121.2920123,"2020-09-29","Charlie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","10:30 AM - 1:00 PM","","","meal"
